id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8330,2022-08-01 11:05:04,2022-08-01 11:05:19,2022-08-01 11:05:19,2022-08-01 06:51:48,113.997322,22.610624,0,205,70681.8,2,0,13,0
8371,2022-08-01 11:05:21,2022-08-01 11:05:24,2022-08-01 11:05:21,2022-08-01 06:55:55,113.991828,22.599943,16,30,74794.3,2,1,1,475
8411,2022-08-01 11:05:18,2022-08-01 11:05:21,2022-08-01 11:05:18,2022-08-01 06:50:11,113.994903,22.595758,8,55,51265.1,2,1,5,684
8421,2022-08-01 11:01:21,2022-08-01 11:05:20,2022-08-01 11:05:21,2022-08-01 07:19:03,113.997505,22.610557,0,39,65973.8,1,0,1,517
8458,2022-08-01 11:02:41,2022-08-01 11:05:13,2022-08-01 11:05:10,2022-08-01 06:50:50,113.99047,22.60349,0,266,66166.4,2,1,1,59
8470,2022-08-01 11:01:41,2022-08-01 11:05:11,2022-08-01 11:05:11,2022-08-01 06:34:14,113.996696,22.611307,0,70,61841.2,1,0,1,0
18447,2022-08-01 11:05:11,2022-08-01 11:05:14,2022-08-01 11:05:11,2022-07-30 11:42:10,113.992164,22.602874,19,325,42174.3,1,1,13,187
