id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8147,2022-08-01 11:28:58,2022-08-01 11:28:57,2022-08-01 11:28:58,2022-08-01 11:23:38,113.991744,22.603319,6,312,66243.0,1,1,13,179
8335,2022-08-01 11:28:02,2022-08-01 11:28:47,2022-08-01 11:28:47,2022-08-01 10:19:13,113.997406,22.610639,0,131,65928.0,1,0,1,527
8411,2022-08-01 11:28:55,2022-08-01 11:28:58,2022-08-01 11:28:55,2022-08-01 06:50:11,113.995735,22.596387,28,217,51270.9,1,1,9,161
8421,2022-08-01 11:28:58,2022-08-01 11:28:58,2022-08-01 11:28:58,2022-08-01 07:19:03,113.996498,22.606061,25,113,65977.0,2,1,4,207
8447,2022-08-01 11:28:59,2022-08-01 11:28:58,2022-08-01 11:28:59,2022-08-01 11:23:28,113.991409,22.599531,10,268,78086.9,2,0,2,259
18447,2022-08-01 11:28:48,2022-08-01 11:28:51,2022-08-01 11:28:48,2022-07-30 11:42:10,113.998062,22.603189,7,63,42179.8,1,1,2,364
