id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8330,2022-08-01 15:12:54,2022-08-01 15:17:27,2022-08-01 15:17:24,2022-08-01 06:51:48,113.996932,22.611133,0,322,70708.9,1,1,1,601
8345,2022-08-01 15:16:19,2022-08-01 15:17:34,2022-08-01 15:17:34,2022-08-01 06:33:33,113.991714,22.603307,0,296,54529.1,2,1,12,1036
8371,2022-08-01 15:17:31,2022-08-01 15:17:34,2022-08-01 15:17:31,2022-08-01 13:48:14,113.991508,22.599569,7,114,74813.7,2,0,1,524
8470,2022-08-01 15:17:24,2022-08-01 15:17:24,2022-08-01 15:17:24,2022-08-01 11:30:53,113.992233,22.602882,5,295,61856.9,1,1,13,194
18447,2022-08-01 15:17:28,2022-08-01 15:17:31,2022-08-01 15:17:28,2022-08-01 12:17:12,113.997505,22.610591,10,70,42195.9,1,0,1,520
