id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8147,2022-08-01 12:22:36,2022-08-01 12:22:36,2022-08-01 12:22:36,2022-08-01 11:23:38,113.990402,22.598726,22,181,66252.7,1,1,13,400
8330,2022-08-01 12:22:29,2022-08-01 12:22:32,2022-08-01 12:22:29,2022-08-01 06:51:48,113.997428,22.610569,7,95,70685.9,1,0,1,519
8335,2022-08-01 12:22:35,2022-08-01 12:22:35,2022-08-01 12:22:35,2022-08-01 10:19:13,113.997566,22.606035,14,318,65936.9,1,0,3,187
8345,2022-08-01 12:19:29,2022-08-01 12:22:28,2022-08-01 12:22:28,2022-08-01 06:33:33,113.991264,22.599405,0,99,54501.7,1,0,13,332
8365,2022-08-01 12:22:32,2022-08-01 12:22:32,2022-08-01 12:22:32,2022-08-01 06:58:33,113.992927,22.596694,23,314,59568.9,1,0,11,298
8447,2022-08-01 12:22:37,2022-08-01 12:22:37,2022-08-01 12:22:37,2022-08-01 11:23:28,113.993629,22.605295,17,334,78096.7,2,1,10,251
8470,2022-08-01 12:22:37,2022-08-01 12:22:37,2022-08-01 12:22:37,2022-08-01 11:30:53,113.992012,22.60037,26,188,61843.3,1,1,5,445
