id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8267,2022-08-01 17:01:03,2022-08-01 17:01:08,2022-08-01 17:01:03,2022-08-01 13:20:02,113.998893,22.608015,24,187,75342.5,1,1,1,213
8335,2022-08-01 16:57:20,2022-08-01 17:01:05,2022-08-01 17:01:05,2022-08-01 16:49:22,113.998313,22.603332,0,125,65963.8,1,1,2,354
8371,2022-08-01 17:01:08,2022-08-01 17:01:11,2022-08-01 17:01:08,2022-08-01 13:48:14,113.994033,22.604578,22,335,74833.4,2,0,10,272
8470,2022-08-01 17:01:09,2022-08-01 17:01:08,2022-08-01 17:01:09,2022-08-01 11:30:53,113.996948,22.597717,18,216,61877.0,1,1,9,360
18447,2022-08-01 17:00:57,2022-08-01 17:01:00,2022-08-01 17:00:57,2022-08-01 12:17:12,113.990425,22.603387,13,175,42204.7,1,1,5,552
