id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8267,2022-08-01 13:20:02,2022-08-01 13:22:51,2022-08-01 13:22:46,2022-08-01 13:20:02,113.998214,22.603357,0,0,75319.6,1,1,2,145
8330,2022-08-01 13:23:00,2022-08-01 13:23:03,2022-08-01 13:23:00,2022-08-01 06:51:48,113.9906,22.597024,9,287,70696.4,1,1,11,79
8335,2022-08-01 13:23:02,2022-08-01 13:23:02,2022-08-01 13:23:02,2022-08-01 10:19:13,113.990364,22.597053,12,144,65950.4,1,1,12,267
8365,2022-08-01 13:23:00,2022-08-01 13:23:01,2022-08-01 13:23:00,2022-08-01 06:58:33,113.998527,22.606082,20,9,59582.8,2,0,12,529
8447,2022-08-01 13:23:02,2022-08-01 13:23:05,2022-08-01 13:23:02,2022-08-01 11:23:28,113.996429,22.606483,22,281,78108.2,1,1,3,123
8458,2022-08-01 13:22:05,2022-08-01 13:22:53,2022-08-01 13:22:50,2022-08-01 06:50:50,113.997367,22.610618,0,235,66182.7,1,0,1,527
