id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8267,2022-08-01 15:00:18,2022-08-01 15:00:22,2022-08-01 15:00:18,2022-08-01 13:20:02,113.994209,22.604223,15,336,75327.8,2,0,10,281
8330,2022-08-01 14:56:40,2022-08-01 15:00:13,2022-08-01 15:00:10,2022-08-01 06:51:48,113.996971,22.611083,0,311,70708.9,1,0,1,596
8345,2022-08-01 15:00:22,2022-08-01 15:00:22,2022-08-01 15:00:22,2022-08-01 06:33:33,113.990249,22.603015,10,163,54524.3,1,1,13,95
8371,2022-08-01 15:00:20,2022-08-01 15:00:23,2022-08-01 15:00:20,2022-08-01 13:48:14,113.993812,22.604999,11,328,74810.4,2,1,10,254
8470,2022-08-01 15:00:20,2022-08-01 15:00:20,2022-08-01 15:00:20,2022-08-01 11:30:53,113.997756,22.610574,12,132,61852.7,1,0,1,526
18447,2022-08-01 15:00:12,2022-08-01 15:00:16,2022-08-01 15:00:12,2022-08-01 12:17:12,113.9953,22.595977,19,251,42191.9,1,1,9,96
