id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8267,2022-08-01 15:03:51,2022-08-01 15:03:52,2022-08-01 15:03:51,2022-08-01 13:20:02,113.998832,22.607603,22,5,75328.7,2,1,12,330
8345,2022-08-01 15:04:00,2022-08-01 15:04:01,2022-08-01 15:04:00,2022-08-01 06:33:33,113.99237,22.597072,10,126,54525.3,1,1,12,290
8371,2022-08-01 15:03:55,2022-08-01 15:03:58,2022-08-01 15:03:55,2022-08-01 13:48:14,113.998435,22.609134,25,342,74811.4,1,0,1,0
8470,2022-08-01 15:03:57,2022-08-01 15:03:58,2022-08-01 15:03:57,2022-08-01 11:30:53,113.9953,22.606632,16,182,61853.6,1,0,4,261
18447,2022-08-01 15:03:57,2022-08-01 15:04:00,2022-08-01 15:03:57,2022-08-01 12:17:12,113.991546,22.599559,10,38,42192.8,1,1,13,323
