id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8330,2022-08-01 10:51:01,2022-08-01 10:51:03,2022-08-01 10:51:01,2022-08-01 06:51:48,113.991783,22.599899,16,211,70677.9,1,1,13,296
8371,2022-08-01 10:51:01,2022-08-01 10:51:04,2022-08-01 10:51:01,2022-08-01 06:55:55,113.998672,22.608543,23,332,74791.9,2,1,1,1072
8411,2022-08-01 10:50:57,2022-08-01 10:51:00,2022-08-01 10:50:57,2022-08-01 06:50:11,113.993881,22.596067,12,289,51262.3,1,1,10,178
8421,2022-08-01 10:51:04,2022-08-01 10:51:04,2022-08-01 10:51:04,2022-08-01 07:19:03,113.991958,22.60099,24,161,65971.5,1,1,5,383
8470,2022-08-01 10:46:39,2022-08-01 10:50:54,2022-08-01 10:50:54,2022-08-01 06:34:14,113.996658,22.611291,0,238,61841.2,1,0,1,0
18447,2022-08-01 10:50:57,2022-08-01 10:51:01,2022-08-01 10:50:57,2022-07-30 11:42:10,113.998413,22.608987,24,159,42170.3,1,1,1,340
