id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8335,2022-08-01 11:12:59,2022-08-01 11:12:59,2022-08-01 11:12:59,2022-08-01 10:19:13,113.997825,22.605201,18,40,65927.2,2,1,1,846
8371,2022-08-01 11:13:01,2022-08-01 11:13:05,2022-08-01 11:13:01,2022-08-01 06:55:55,113.99884,22.60777,24,187,74796.7,1,1,1,196
8411,2022-08-01 11:12:44,2022-08-01 11:13:00,2022-08-01 11:12:57,2022-08-01 06:50:11,113.998512,22.606197,0,18,51267.5,2,0,12,517
8421,2022-08-01 11:13:05,2022-08-01 11:13:05,2022-08-01 11:13:05,2022-08-01 07:19:03,113.995269,22.606611,22,183,65974.7,1,0,4,233
8458,2022-08-01 11:12:31,2022-08-01 11:13:04,2022-08-01 11:13:00,2022-08-01 06:50:50,113.991493,22.599557,0,50,66166.9,2,0,1,520
8470,2022-08-01 11:10:38,2022-08-01 11:12:53,2022-08-01 11:12:53,2022-08-01 06:34:14,113.99736,22.610649,0,222,61841.3,1,0,1,538
18447,2022-08-01 11:13:02,2022-08-01 11:13:06,2022-08-01 11:13:02,2022-07-30 11:42:10,113.990287,22.597648,19,185,42175.3,1,0,12,206
