id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist,route_code
8267,2022-08-02 14:46:03,2022-08-02 14:46:14,2022-08-02 14:46:03,2022-08-02 13:27:52,113.992279,22.602836,19,221,75423.2,2,1,12,1047,201
8330,2022-08-02 14:46:18,2022-08-02 14:46:22,2022-08-02 14:46:18,2022-08-02 11:58:18,113.997619,22.598453,24,38,70795.2,2,1,5,265,201
8345,2022-08-02 14:46:10,2022-08-02 14:46:13,2022-08-02 14:46:10,2022-08-02 06:48:47,113.9962,22.60293,17,86,54604.2,1,1,6,158,201
8371,2022-08-02 14:46:18,2022-08-02 14:46:21,2022-08-02 14:46:18,2022-08-02 13:47:56,113.991401,22.603546,19,282,74912.9,1,1,13,177,201
8421,2022-08-02 14:42:14,2022-08-02 14:46:17,2022-08-02 14:46:14,2022-08-02 14:24:29,113.997398,22.610582,0,236,66062.0,1,0,1,0,201
8458,2022-08-02 14:46:10,2022-08-02 14:46:13,2022-08-02 14:46:10,2022-08-02 12:49:46,113.991958,22.602329,14,27,66286.4,2,1,1,262,202
