id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8267,2022-08-01 16:43:12,2022-08-01 16:43:13,2022-08-01 16:43:12,2022-08-01 13:20:02,113.993583,22.605482,16,59,75341.0,2,1,10,229
8371,2022-08-01 16:43:14,2022-08-01 16:43:17,2022-08-01 16:43:14,2022-08-01 13:48:14,113.990951,22.597038,25,256,74829.2,1,1,11,98
8421,2022-08-01 16:43:14,2022-08-01 16:43:18,2022-08-01 16:43:14,2022-08-01 14:27:31,113.995681,22.606634,21,286,65991.2,1,0,4,271
8470,2022-08-01 16:43:15,2022-08-01 16:43:15,2022-08-01 16:43:15,2022-08-01 11:30:53,113.99514,22.606296,22,71,61873.4,2,0,11,297
