id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8267,2022-08-01 14:28:56,2022-08-01 14:29:00,2022-08-01 14:28:56,2022-08-01 13:20:02,113.991409,22.603494,16,273,75320.5,1,1,2,638
8330,2022-08-01 14:28:56,2022-08-01 14:29:00,2022-08-01 14:28:56,2022-08-01 06:51:48,113.998992,22.600574,17,140,70702.1,1,1,8,85
8345,2022-08-01 14:29:02,2022-08-01 14:29:02,2022-08-01 14:29:02,2022-08-01 06:33:33,113.998374,22.601993,11,355,54517.8,2,0,7,114
8421,2022-08-01 14:28:59,2022-08-01 14:29:00,2022-08-01 14:28:59,2022-08-01 14:27:31,113.996215,22.606258,22,287,65978.2,1,1,3,108
18447,2022-08-01 14:28:58,2022-08-01 14:29:02,2022-08-01 14:28:58,2022-08-01 12:17:12,113.994216,22.605813,21,57,42187.9,2,1,1,506
