id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8267,2022-08-01 15:31:44,2022-08-01 15:31:47,2022-08-01 15:31:44,2022-08-01 13:20:02,113.998397,22.606063,16,247,75329.8,1,0,2,145
8470,2022-08-01 15:31:45,2022-08-01 15:31:45,2022-08-01 15:31:45,2022-08-01 11:30:53,113.994613,22.603921,18,314,61860.1,2,1,9,114
18447,2022-08-01 15:31:48,2022-08-01 15:31:51,2022-08-01 15:31:48,2022-08-01 12:17:12,113.991912,22.602197,6,26,42198.3,2,1,1,268
