id,time_mt,time_rt,time_et,time_at,lng,lat,speed,course,accum_trip,route_dir,route_flag,route_sn,route_dist
8345,2022-08-01 15:16:19,2022-08-01 15:20:04,2022-08-01 15:20:04,2022-08-01 06:33:33,113.991722,22.603397,0,296,54529.1,2,1,12,1036
8371,2022-08-01 15:19:27,2022-08-01 15:20:00,2022-08-01 15:19:57,2022-08-01 13:48:14,113.991859,22.603242,0,284,74814.2,2,0,1,0
8470,2022-08-01 15:20:13,2022-08-01 15:20:13,2022-08-01 15:20:13,2022-08-01 11:30:53,113.990242,22.603326,13,193,61857.1,1,1,13,130
18447,2022-08-01 15:17:28,2022-08-01 15:20:02,2022-08-01 15:19:59,2022-08-01 12:17:12,113.997543,22.610584,0,63,42195.9,1,0,1,522
